#EXPORTTYPE:DATA ALL
#FILE:60CP60012CoPU5GPM-1C.ngb-ss4
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:60CP60012CoPU5GPM-1C
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DTA
#INSTRUMENT:NETZSCH STA 2500
#PROJECT:HÉCTOR ROMERO
#DATE/TIME:14.01.2020 10:00
#CORR. FILE:
#TEMPCAL:cal prueba.ngb-ts4
#SENSITIVITY:prueba cal sensibilidad.ngb-es4
#LABORATORY:ESIQIE
#OPERATOR:wendynoemi
#REMARK:
#SAMPLE:60CP60012CoPU5GPM-1C
#SAMPLE MASS /mg:4.980
#MATERIAL:ALUMINA
#REFERENCE:Crisol+Alumina
#REFERENCE MASS /mg:14.783
#TYPE OF CRUCIBLE:Al2O3 pan for STA2500
#SAMPLE CRUCIBLE MASS /mg:38.223
#REFERENCE CRUCIBLE MASS /mg:43.950
#TG RANGE /mg:500
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:20°C....700°C/-10.0....10.0K/min
#SEGMENT:S1-4/4
#SEG. 1:20°C/10.0(K/min)/150°C
#SEG. 2:150°C/00:30/150°C
#SEG. 3:150°C/10.0(K/min)/30°C
#SEG. 4:30°C/5.0(K/min)/700°C

##Temp./°C;Time/min;DTA/(mW/mg);Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);DTG/(%/min);Sensit./(uV/mW);Segment
 20.55400;  0.00000; 5.90922;100.00000; 0.000000e+000;      75.00000;75.00000;       1.43293;0.92161;1
 20.86500;  0.25000; 5.93918; 99.75181; 0.000000e+000;      75.00000;75.00000;       0.23906;0.92196;1
 22.09600;  0.50000; 6.02488; 99.82731; 0.000000e+000;      75.00000;75.00000;      -0.61208;0.92337;1
 23.92400;  0.75000; 6.11964; 99.60209; 0.000000e+000;      75.00000;75.00000;      -1.35360;0.92544;1
 26.25000;  1.00000; 6.16658; 99.32843; 0.000000e+000;      75.00000;75.00000;      -0.93975;0.92806;1
 28.83400;  1.25000; 6.17381; 99.35229; 0.000000e+000;      75.00000;75.00000;      -1.56033;0.93095;1
 31.61400;  1.50000; 6.16926; 99.25703; 0.000000e+000;      75.00000;75.00000;      -1.29012;0.93402;1
 34.48500;  1.75000; 6.17346; 99.27020; 0.000000e+000;      75.00000;75.00000;      -0.30940;0.93715;1
 37.38800;  2.00000; 6.18384; 99.26281; 0.000000e+000;      75.00000;75.00000;       0.10589;0.94029;1
 40.23900;  2.25000; 6.19054; 99.25116; 0.000000e+000;      75.00000;75.00000;       0.40776;0.94333;1
 43.05900;  2.50000; 6.20023; 99.32819; 0.000000e+000;      75.00000;75.00000;       0.45070;0.94630;1
 45.83900;  2.75000; 6.22538; 99.42193; 0.000000e+000;      75.00000;75.00000;       0.79708;0.94920;1
 48.53500;  3.00000; 6.24859; 99.41944; 0.000000e+000;      75.00000;75.00000;      -0.29563;0.95197;1
